Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,8491.430499,9.71E-25,2.08E-03,0.0802,0.403,447.2523,0.63,-0.009952
1,1,8491.329902,1.64E-25,1.28E+00,0.0201,0.235,2042.3727,0.41,-0.026643
1,4,8491.195244,3.03E-27,4.48E-02,0.0932,0.371,384.8756,0.63,-0.013952
1,4,8491.140026,2.51E-27,2.58E-01,0.0624,0.352,818.0067,0.61,-0.01466
1,4,8491.13398,2.51E-27,2.58E-01,0.0624,0.352,818.0134,0.61,-0.015258
1,4,8491.045426,4.80E-27,9.70E-02,0.0573,0.333,513.2072,0.57,-0.021393
1,1,8491.021442,8.42E-27,6.43E-02,0.0957,0.391,2053.9686,0.67,-0.015473
1,1,8490.818149,2.33E-27,5.88E-01,0.0753,0.315,2904.6701,0.55,-0.00762
1,1,8490.817031,3.55E-25,7.49E-04,0.0964,0.466,142.2785,0.71,-0.004106
1,1,8490.738055,2.95E-23,2.42E-02,0.093,0.434,173.3658,0.71,-0.007259
1,1,8490.710664,2.41E-27,1.58E-05,0.0813,0.391,416.2087,0.67,-0.004425
1,2,8490.668529,1.28E-27,1.36E-02,0.0893,0.445,658.61,0.63,-0.011955
1,3,8490.652641,2.86E-27,2.20E-02,0.0881,0.434,205.4891,0.71,0
1,1,8490.06044,3.18E-25,6.34E-03,0.0805,0.392,709.6082,0.61,-0.007487
1,1,8489.981603,3.24E-27,5.58E-05,0.0704,0.352,931.237,0.61,-0.01098
1,3,8489.972988,5.64E-27,2.80E-02,0.0719,0.371,446.2676,0.63,0
1,1,8489.954508,2.67E-26,9.92E-02,0.0335,0.315,1810.583,0.55,-0.019401
1,1,8489.951466,8.01E-26,9.92E-02,0.0365,0.315,1810.5877,0.55,-0.018174
1,1,8489.944985,4.77E-25,1.24E+00,0.019,0.163,2042.3098,0.41,-0.025041
1,1,8489.921797,2.29E-27,7.03E-03,0.085,0.412,1908.0163,0.69,-0.005621
1,1,8489.833527,6.40E-24,1.69E-02,0.0907,0.512,136.1639,0.72,-0.00665
1,1,8489.799667,8.09E-26,6.05E-04,0.0775,0.352,704.214,0.61,-0.007137
1,1,8489.371237,2.13E-26,2.17E-03,0.0361,0.114,1114.5313,0.51,-0.019998
1,3,8489.256196,1.87E-27,2.78E-02,0.0719,0.371,445.7419,0.63,0
1,1,8488.861851,2.84E-27,2.71E-01,0.028,0.281,2522.2607,0.47,-0.019643
1,1,8488.857093,8.52E-27,2.71E-01,0.0304,0.4,2522.2645,0.47,-0.019994
1,1,8488.773409,5.90E-27,1.49E+00,0.0808,0.315,2904.6701,0.55,-0.006082
1,2,8488.19954,5.47E-27,1.82E-02,0.0873,0.401,604.7928,0.67,-0.01094
1,4,8487.561976,2.06E-27,2.17E-02,0.095,0.412,221.8362,0.69,-0.010873
1,2,8487.5464,5.53E-27,2.64E-02,0.0475,0.307,583.9864,0.61,-0.013258
1,2,8487.42321,1.74E-26,2.77E-02,0.0486,0.352,583.7778,0.61,-0.012454
1,1,8487.317444,8.95E-27,7.44E-04,0.0532,0.4,1255.1666,0.57,-0.01456
1,1,8486.89818,4.92E-27,5.38E-04,0.0525,0.352,1059.6466,0.61,-0.012435
1,1,8486.843174,1.42E-27,9.25E-04,0.0476,0.315,1474.9803,0.55,-0.012835
1,1,8486.713054,1.48E-26,5.40E-04,0.0535,0.4,1059.8353,0.61,-0.012465
1,1,8486.683112,3.16E-26,9.38E-01,0.0709,0.4,2300.6841,0.44,-0.024537
1,1,8486.576657,3.00E-27,7.52E-04,0.0544,0.333,1255.9115,0.57,-0.012975
1,1,8486.089706,1.28E-25,5.91E-03,0.0425,0.371,1045.0578,0.63,-0.014229
1,1,8486.077121,4.27E-26,5.92E-03,0.04,0.371,1045.0583,0.63,-0.016635
1,1,8486.076735,2.52E-25,3.48E-03,0.0596,0.333,885.6002,0.57,-0.005591
1,1,8486.050458,1.91E-23,1.67E-02,0.0912,0.456,134.9016,0.72,-0.007433
1,4,8486.033701,4.07E-27,6.31E-02,0.0909,0.434,233.0238,0.71,-0.009847
1,1,8485.752152,1.83E-27,1.96E+00,0.0549,0.298,3224.5462,0.51,-0.01354
1,4,8485.74424,1.59E-26,5.13E-01,0.0772,0.333,609.9465,0.57,-0.016437
1,1,8485.728031,1.63E-26,2.99E-04,0.0502,0.4,888.5986,0.63,-0.01346
1,1,8485.69207,5.45E-27,2.99E-04,0.0514,0.371,888.6326,0.63,-0.01808
1,1,8485.651763,1.12E-27,1.01E-01,0.0511,0.333,2490.3539,0.57,-0.009903
1,1,8485.589005,8.32E-27,2.46E-04,0.0769,0.352,816.6942,0.61,-0.016982
1,4,8485.558332,4.05E-27,6.29E-02,0.1331,0.434,233.0513,0.71,-0.013161
1,1,8485.534358,1.09E-27,4.57E-05,0.0739,0.352,1059.8353,0.61,-0.022877
1,1,8485.511357,1.68E-27,1.08E-03,0.0466,0.298,1718.7185,0.51,-0.014165
1,3,8484.703626,1.26E-27,4.90E-02,0.0884,0.504,840.8651,0.61,-0.01446
1,1,8484.542906,4.31E-27,9.44E-04,0.0543,0.315,1477.2972,0.55,-0.014535
1,1,8484.495683,1.04E-25,1.70E-03,0.0753,0.431,920.168,0.55,-0.016023
1,1,8484.306498,2.40E-25,2.13E-03,0.0777,0.408,542.9058,0.63,-0.00579
1,2,8484.28062,3.99E-26,7.33E-02,0.0616,0.412,482.6434,0.69,-0.01113
1,2,8484.236729,1.33E-26,7.33E-02,0.0616,0.287,482.6725,0.69,-0.011407
1,1,8484.191265,1.64E-25,1.15E+00,0.0301,0.451,2246.8839,0.41,-0.031942
1,1,8484.190433,1.76E-24,1.54E-03,0.096,0.451,136.7617,0.71,-0.002676
1,4,8483.746183,1.77E-26,5.41E-01,0.0821,0.4,598.5631,0.57,-0.01698
1,2,8483.68747,6.04E-27,4.93E-02,0.066,0.391,604.5441,0.67,-0.011706
1,1,8483.44826,5.79E-26,1.22E+00,0.0276,0.216,2248.0632,0.41,-0.025177
1,2,8483.35656,1.80E-26,4.90E-02,0.0664,0.391,604.7928,0.67,-0.010218
1,2,8483.19333,7.44E-27,3.49E-02,0.0657,0.371,751.0329,0.63,-0.008984
1,1,8483.080493,1.70E-27,2.15E-05,0.0889,0.352,842.3565,0.61,-0.014567
1,2,8483.05143,4.29E-26,2.10E-02,0.0877,0.434,210.7992,0.71,-0.008682
1,1,8483.017223,1.23E-27,2.76E-05,0.0792,0.352,931.237,0.61,-0.017434
1,2,8482.712228,1.29E-27,1.19E+00,0.0348,0.201,1954.6537,0.44,-0.025069
1,2,8482.27242,1.40E-26,2.30E-02,0.0886,0.412,274.8032,0.69,-0.006705
1,1,8482.248413,1.17E-26,2.52E+00,0.0249,0.4,2915.8738,0.47,-0.022876
1,1,8482.209606,3.10E-27,1.43E-02,0.0509,0.281,2144.0458,0.47,-0.02843
1,1,8482.123284,1.75E-27,1.05E-02,0.0771,0.412,2004.8154,0.69,-0.009284
1,4,8482.068076,2.41E-27,5.02E-02,0.0868,0.352,490.4274,0.61,-0.018368
1,2,8482.039039,1.21E-27,5.99E-01,0.0699,0.281,1808.3624,0.47,-0.005946
1,1,8482.037966,2.07E-26,1.98E-03,0.048,0.582,1327.1096,0.47,-0.018832
1,1,8481.717132,1.24E-27,2.91E-05,0.0741,0.333,744.0637,0.57,-0.01029
1,1,8481.605653,4.96E-26,4.77E-04,0.0719,0.319,756.7247,0.63,-0.014895
1,2,8481.4886,2.47E-27,3.49E-02,0.0689,0.371,752.1874,0.63,-0.012943
1,4,8481.467283,9.41E-27,4.74E-01,0.0775,0.333,701.6203,0.57,-0.01247
1,1,8481.445476,1.73E-27,4.85E-05,0.0694,0.333,1006.1157,0.57,-0.014638
1,1,8481.240244,6.20E-27,5.74E-03,0.0809,0.281,1813.2226,0.47,-0.000438
1,1,8481.204085,4.91E-26,1.23E-02,0.0481,0.258,1524.8473,0.47,-0.00741
1,1,8481.128174,9.87E-26,1.00E-01,0.0678,0.358,1813.2226,0.47,-0.009638
1,1,8481.068122,1.71E-26,4.56E-03,0.0462,0.4,1557.8471,0.44,-0.023312
1,1,8480.123355,4.09E-27,2.64E+00,0.028,0.281,2915.8934,0.47,-0.021133
1,1,8479.873771,2.89E-25,7.71E-04,0.0999,0.398,70.0908,0.72,-0.001938
1,1,8479.744049,1.64E-27,2.81E-03,0.0523,0.281,1695.0677,0.47,-0.022049
1,1,8479.69104,1.33E-26,3.21E-03,0.0528,0.4,1293.0173,0.51,-0.025336
1,1,8479.627039,5.35E-27,7.91E-02,0.0805,0.412,2005.9167,0.69,-0.007876
1,1,8479.576182,1.67E-27,2.39E+00,0.065,0.298,3058.3978,0.51,-0.023136
1,1,8479.323306,2.67E-26,1.24E-03,0.0674,0.241,882.8903,0.57,-0.002118
1,1,8479.278354,1.22E-27,1.85E-02,0.0726,0.371,2271.712,0.63,-0.007048
1,1,8479.106224,5.50E-26,1.03E+00,0.0759,0.291,2205.6518,0.44,-0.016903
1,1,8478.86733,7.82E-27,9.13E-03,0.0775,0.4,1616.4524,0.51,-0.017326
