Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,1,7275.9708,1.04E-27,5.41E-04,0.0561,0.298,1718.7185,0.51,-0.02124
1,2,7276.0114,3.01E-28,5.46E-03,0.0818,0.352,921.8957,0.61,-0.00982
1,1,7276.0146,1.10E-28,3.54E-01,0.0369,0.221,3629.0943,0.37,-0.03006
1,3,7276.0422,5.69E-28,4.09E+00,0.081,0.434,1902.3291,0.71,-0.01108
1,1,7276.0719,1.63E-26,7.67E-01,0.0232,0.235,2746.0224,0.4,-0.023164
1,2,7276.0879,2.09E-29,2.23E-03,0.0573,0.298,1574.4495,0.51,-0.002708
1,1,7276.1096,5.85E-25,2.20E+00,0.0974,0.456,1693.6499,0.72,-0.0083
1,4,7276.13901,5.20E-25,2.21E+00,0.0971,0.48,29.8086,0.73,-0.00654
1,3,7276.1452,1.01E-29,1.55E-04,0.0521,0.333,742.4912,0.57,-0.011944
1,2,7276.2252,1.09E-27,1.55E+00,0.0422,0.28,1863.0198,0.51,-0.02336
1,4,7276.258469,3.07E-28,1.18E-01,0.073,0.281,1287.2387,0.47,-0.02284
1,1,7276.3516,4.87E-27,9.07E-06,0.0727,0.371,447.2523,0.63,-0.007968
1,2,7276.4334,1.08E-26,3.71E-01,0.0502,0.335,1075.9092,0.55,-0.01206
1,3,7276.4721,3.30E-29,4.63E-01,0.0915,0.412,1813.6122,0.69,-0.0033
1,1,7276.4775,2.74E-26,1.37E-04,0.0951,0.412,383.8425,0.69,-0.01716
1,5,7276.551925,1.58E-27,2.91E+00,0.0969,0.456,65.6591,0.72,-0.01046
1,1,7276.564,2.98E-26,1.76E-02,0.042,0.265,1557.8436,0.44,-0.0227
1,4,7276.602601,1.63E-29,1.01E+00,0.078,0.298,2297.3207,0.51,-0.02836
1,1,7276.6406,4.65E-26,1.95E-04,0.078,0.352,704.214,0.61,-0.001268
1,1,7276.6628,1.04E-29,2.00E+00,0.0495,0.25,4442.7116,0.41,-0.016372
1,1,7276.687,1.12E-24,5.36E+00,0.0912,0.385,1743.4863,0.72,-0.008
1,1,7276.7124,1.15E-29,8.75E-05,0.0103,0.221,2358.2996,0.37,-0.01596
1,2,7276.7198,3.27E-27,1.55E+00,0.0452,0.25,1862.4547,0.51,-0.02788
1,6,7276.722176,1.54E-28,1.86E+00,0.0902,0.456,108.2377,0.72,-0.00908
1,1,7276.7509,4.04E-29,1.78E-02,0.0476,0.265,3144.5781,0.44,-0.02612
1,1,7276.7742,7.59E-25,1.79E+00,0.0482,0.287,1843.0288,0.47,-0.01356
1,2,7276.8032,2.53E-29,2.53E-03,0.0579,0.333,1247.2058,0.57,-0.01494
1,2,7276.8097,6.34E-29,1.51E-03,0.0659,0.352,921.8957,0.61,-0.01242
1,4,7276.829541,4.36E-27,1.40E+00,0.0455,0.352,1171.5316,0.61,-0.00844
1,4,7276.829596,2.90E-27,9.32E-01,0.0455,0.352,1171.5317,0.61,-0.01468
1,4,7276.852838,1.01E-28,8.86E-01,0.0851,0.371,1797.4463,0.63,-0.00608
1,3,7276.865,6.08E-28,1.13E-01,0.055,0.32,1078.0207,0.55,-0.003164
1,1,7276.8671,1.44E-26,2.70E-01,0.0634,0.352,2181.0898,0.61,-0.01068
1,1,7276.89401,7.18E-23,1.77E+00,0.0704,0.36,816.6942,0.61,-0.006169
1,5,7276.901936,5.93E-29,1.89E-01,0.0872,0.371,306.4077,0.63,-0.01132
1,3,7276.9091,7.50E-27,2.70E+00,0.0761,0.315,1213.5626,0.55,-0.01224
1,1,7276.9172,7.56E-28,1.18E+00,0.0492,0.315,3139.4755,0.55,-0.01786
1,2,7276.925,4.78E-29,1.14E+00,0.0373,0.235,2735.4191,0.4,-0.02226
1,2,7277.0857,1.64E-26,1.45E+00,0.0532,0.34,1247.2058,0.57,-0.017719
1,3,7277.1334,1.70E-24,7.62E+00,0.099,0.537,36.9315,0.73,-0.005239
