Mol#,Iso#,Wv #,Intensity,Einstein A-Coef,Air Width,Self Width,Lower State E,Temp Dep,Press Shift
1,6,7151.846554,4.12E-29,9.21E-01,0.0879,0.412,293.8007,0.69,-0.0139
1,4,7151.90219,2.84E-26,5.44E-01,0.0807,0.333,598.5631,0.57,-0.01108
1,1,7151.9064,2.01E-29,5.73E-02,0.028,0.25,3583.3706,0.41,-0.02476
1,3,7151.9329,4.40E-25,8.80E-01,0.0995,0.525,173.1101,0.71,-0.01112
1,1,7151.9501,2.79E-29,1.27E+00,0.0975,0.434,3791.3721,0.71,-0.00774
1,1,7151.99285,3.15E-22,1.10E+00,0.0956,0.478,315.7795,0.69,-0.012189
1,1,7152.044752,9.46E-25,5.88E+00,0.0325,0.315,2009.7723,0.55,-0.01568
1,1,7152.046617,2.84E-24,5.88E+00,0.0325,0.315,2009.7723,0.55,-0.014
1,3,7152.0615,9.12E-27,2.11E-01,0.0799,0.34,502.1799,0.67,-0.01104
1,1,7152.1082,5.23E-26,2.71E-02,0.0682,0.298,1538.1488,0.51,-0.005852
1,1,7152.2053,4.40E-27,2.38E+00,0.0398,0.352,2905.4313,0.61,-0.007956
1,1,7152.2129,7.62E-27,1.37E+00,0.0455,0.352,2905.433,0.61,-0.011064
1,2,7152.2182,1.81E-27,9.87E+00,0.0672,0.27,2239.1569,0.67,-0.01218
1,1,7152.2408,3.00E-29,1.09E-01,0.0993,0.434,3392.7492,0.71,-0.01258
1,4,7152.250441,1.06E-29,1.65E-02,0.048,0.265,1598.0681,0.44,-0.03338
1,4,7152.258463,1.18E-26,2.26E-01,0.0748,0.333,598.5631,0.57,-0.01304
1,2,7152.2773,2.62E-28,3.42E-04,0.0938,0.412,482.6435,0.69,-0.01878
1,1,7152.3104,1.17E-24,3.84E+00,0.0432,0.245,2144.0458,0.47,-0.0252
1,1,7152.3357,9.00E-28,1.44E-01,0.0404,0.298,2904.428,0.51,-0.02464
1,2,7152.3409,1.98E-27,1.70E+00,0.098,0.43,1765.3978,0.71,-0.00836
1,1,7152.3858,2.12E-24,1.76E+00,0.0784,0.405,1616.4524,0.51,-0.01936
1,1,7152.493,1.33E-26,3.75E+00,0.0742,0.333,2771.69,0.57,-0.01196
1,2,7152.4962,1.31E-27,4.36E-03,0.0799,0.352,780.4526,0.61,-0.007712
1,4,7152.50712,3.94E-27,3.91E+00,0.034,0.315,1433.5721,0.55,-0.01464
1,4,7152.507271,3.94E-27,3.91E+00,0.034,0.315,1433.5719,0.55,-0.01956
1,1,7152.5486,4.03E-29,4.86E-01,0.0439,0.281,3833.1439,0.47,-0.02286
1,4,7152.591742,1.42E-26,4.02E-01,0.0872,0.333,653.0887,0.57,-0.0084
1,2,7152.6035,1.15E-28,2.16E-02,0.0592,0.298,1433.0285,0.51,-0.02098
1,2,7152.6065,6.03E-28,9.86E+00,0.0668,0.391,2238.9748,0.67,-0.01356
1,4,7152.63819,6.01E-27,5.53E-01,0.062,0.298,964.8505,0.51,-0.01728
1,1,7152.6827,1.36E-22,7.71E-01,0.0866,0.46,416.2087,0.67,-0.003929
1,1,7152.695135,1.23E-29,5.32E-02,0.0394,0.221,3443.1897,0.37,-0.02416
1,1,7152.7939,3.32E-29,3.58E-01,0.0517,0.298,3565.0041,0.51,-0.01326
1,4,7152.825305,7.33E-29,4.92E-01,0.0915,0.391,1673.0176,0.67,-0.004
1,1,7152.8444,4.88E-28,5.92E-01,0.0511,0.315,3321.0133,0.55,-0.00832
1,3,7152.8453,1.81E-28,2.11E+00,0.0915,0.391,2049.7121,0.67,-0.00812
1,4,7152.85206,2.05E-25,2.50E+00,0.0832,0.391,374.41,0.67,-0.00918
1,1,7152.8592,1.33E-28,1.12E-02,0.018,0.208,2660.9448,0.35,-0.017164
1,6,7152.911214,1.08E-28,2.09E+00,0.087,0.371,305.2092,0.63,-0.01286
1,4,7152.930515,6.42E-29,4.34E-02,0.0589,0.281,1410.5667,0.47,-0.02432
1,4,7152.977273,5.58E-28,1.08E-02,0.0854,0.371,573.8907,0.63,-0.0203
1,1,7153.0503,1.01E-26,9.09E-02,0.0486,0.281,2142.5967,0.47,-0.02384
1,3,7153.059,1.09E-29,1.53E-02,0.0294,0.281,1521.7823,0.47,-0.02578
1,1,7153.0712,9.99E-26,2.37E+00,0.087,0.352,2462.8752,0.61,-0.01008
1,1,7153.0774,2.58E-29,4.48E-02,0.0282,0.221,3269.5386,0.37,-0.02766
1,2,7153.181,1.13E-29,1.41E-03,0.0763,0.333,1574.6776,0.57,-0.01232
1,6,7153.277753,1.59E-28,3.54E+00,0.0886,0.391,292.3695,0.67,-0.00978
1,1,7153.2879,1.83E-27,2.08E+01,0.101,0.48,3175.4414,0.73,-0.00614
1,1,7153.2961,1.95E-27,9.07E-01,0.0526,0.333,3101.1234,0.57,-0.01052
1,1,7153.3043,4.46E-27,2.04E+00,0.0628,0.315,3141.0457,0.55,-0.010744
1,4,7153.307674,2.98E-29,8.86E-04,0.0826,0.333,711.7953,0.57,-0.010905
1,4,7153.30859,2.35E-25,2.85E+00,0.0832,0.391,373.6659,0.67,-0.01152
1,1,7153.32689,2.69E-29,4.13E-03,0.0212,0.281,2915.8743,0.47,-0.012205
1,1,7153.3416,2.50E-28,1.19E-01,0.0397,0.298,2903.1454,0.51,-0.01682
1,2,7153.3758,5.81E-27,6.13E-01,0.0546,0.315,1334.4789,0.55,-0.015424
1,6,7153.434904,3.11E-29,6.61E-01,0.0887,0.434,231.5249,0.71,-0.00968
1,3,7153.4681,3.11E-25,8.94E-01,0.0909,0.484,299.439,0.69,-0.010749
1,1,7153.4925,5.82E-27,3.20E-01,0.0467,0.25,2756.4142,0.41,-0.028472
1,1,7153.5068,1.13E-26,1.29E-01,0.0465,0.265,2433.7991,0.44,-0.02612
1,1,7153.5222,1.06E-29,3.81E-01,0.0383,0.281,3832.2515,0.47,-0.019216
1,4,7153.52464,8.46E-27,4.79E+00,0.0376,0.333,1294.8365,0.57,-0.0174
1,4,7153.52471,8.46E-27,4.79E+00,0.0376,0.333,1294.8365,0.57,-0.0167
1,1,7153.5376,6.24E-27,1.66E-02,0.0892,0.434,1907.6157,0.71,-0.01282
1,4,7153.550115,1.74E-26,2.24E-01,0.08,0.352,490.4274,0.61,-0.01232
1,2,7153.596,5.59E-27,2.74E-02,0.0704,0.37,604.5442,0.67,-0.01348
1,5,7153.597548,2.44E-29,1.48E+00,0.0829,0.298,1017.9746,0.51,-0.01648
1,5,7153.636557,6.33E-29,2.14E-01,0.092,0.391,291.2422,0.67,-0.01486
1,4,7153.663564,3.34E-28,9.68E-03,0.0815,0.352,683.3239,0.61,-0.019561
1,1,7153.7208,8.75E-26,1.11E+01,0.0553,0.371,2552.8797,0.63,-0.01444
1,1,7153.7488,2.59E-25,1.10E+01,0.0537,0.371,2552.8572,0.63,-0.01448
1,6,7153.867132,2.15E-28,4.16E+00,0.0921,0.391,264.37,0.67,-0.00906
1,1,7153.8805,1.45E-27,5.18E-02,0.0423,0.25,2426.1953,0.41,-0.02128
1,3,7153.8988,3.05E-28,7.85E-02,0.0807,0.333,1128.9384,0.57,-0.01948
1,1,7153.9069,4.21E-28,1.19E-02,0.0183,0.208,2660.944,0.35,-0.019264
1,1,7153.919202,3.44E-29,1.76E-03,0.0527,0.25,2756.4153,0.41,-0.03288
1,1,7153.9541,7.76E-29,6.32E-03,0.0856,0.333,2490.3539,0.57,-0.00998
1,3,7153.9998,2.55E-25,9.73E-01,0.0918,0.465,398.8794,0.67,-0.009739
1,1,7154.0589,2.92E-27,4.08E+00,0.0486,0.333,3101.142,0.57,-0.01682
1,2,7154.0819,1.72E-29,2.18E-02,0.0913,0.434,1897.6269,0.71,-0.01692
1,2,7154.0821,6.21E-26,2.67E+00,0.0774,0.375,1355.199,0.55,-0.014969
1,1,7154.1143,1.53E-28,3.52E-02,0.0291,0.221,3080.1777,0.37,-0.013064
1,4,7154.15702,1.26E-29,4.22E-02,0.0552,0.265,1756.3846,0.44,-0.02968
1,3,7154.2449,3.82E-27,5.56E-01,0.081,0.39,1281.2684,0.55,-0.015628
1,4,7154.26895,5.21E-26,6.69E-01,0.0741,0.352,490.4274,0.61,-0.016665
