Y Pixel,X Pixel,Radius
529.0,743.0,5.0
534.5,349.0,6.5
537.0,32.0,8.0
535.5,287.5,5.5
540.5,524.5,10.5
544.0,706.0,11.0
540.0,214.0,5.0
542.0,375.0,4.0
543.5,1428.5,4.5
550.0,19.0,6.0
553.5,109.0,9.5
557.0,265.5,11.0
553.0,360.0,7.0
554.0,813.0,7.0
554.5,1335.0,6.5
555.0,1421.5,7.0
558.5,180.0,8.5
562.0,1178.0,6.0
560.5,1320.0,4.5
570.0,1582.0,11.0
566.0,417.5,5.0
566.5,1488.5,5.5
569.5,1344.0,6.5
573.0,1470.0,10.0
572.5,1103.5,7.5
578.5,503.0,11.5
578.0,1173.0,10.0
576.0,619.0,6.0
579.0,669.0,5.0
584.5,1515.5,8.5
581.5,123.5,4.5
584.5,443.5,5.5
583.5,1433.0,4.5
589.0,1538.5,10.0
587.0,1130.0,6.0
590.5,257.5,8.5
593.5,373.0,9.5
595.0,1050.5,8.0
594.0,728.5,6.0
595.0,1310.5,5.0
604.0,795.0,6.0
605.5,83.5,4.5
619.0,49.0,16.0
610.5,961.0,7.5
608.0,1377.5,5.0
610.0,1238.0,5.0
615.0,236.0,9.0
627.0,806.5,18.0
619.0,1590.5,8.0
617.5,763.5,5.5
627.0,390.0,13.0
622.0,1130.5,5.0
629.5,467.5,7.5
632.0,899.5,10.0
631.0,1296.0,5.0
634.5,507.0,5.5
648.0,310.0,18.0
636.0,1574.0,5.0
637.5,443.0,5.5
641.0,251.5,4.0
652.5,1093.5,14.5
646.5,8.0,7.5
650.0,1498.0,10.0
649.5,1299.0,5.5
655.0,1155.0,7.0
654.0,782.0,5.0
654.5,940.5,5.5
658.5,60.5,6.5
658.5,1325.5,4.5
660.0,732.0,5.0
660.5,1521.5,4.5
665.0,361.0,6.0
666.0,877.5,5.0
666.5,1151.0,4.5
671.0,139.5,5.0
672.5,1307.0,6.5
671.5,1418.5,4.5
673.0,71.5,5.0
673.0,921.5,5.0
675.5,1510.5,6.5
675.5,244.5,5.5
683.0,1438.5,7.0
683.0,678.0,6.0
684.0,1264.5,4.0
692.0,1584.5,12.0
686.5,8.5,5.5
687.5,1192.0,3.5
698.0,1040.0,9.0
695.5,897.5,5.5
710.5,1219.0,20.5
701.5,845.5,10.5
701.0,805.0,6.0
701.0,1006.0,6.0
700.5,1432.5,5.5
700.5,1546.5,5.5
703.0,259.5,7.0
708.0,1457.5,11.0
705.0,971.0,5.0
712.5,209.5,7.5
711.0,1400.5,5.0
714.5,943.5,6.5
723.5,1082.0,15.5
716.0,1379.0,5.0
721.0,891.0,8.0
718.0,1121.0,5.0
720.5,1396.5,4.5
726.5,305.0,6.5
730.5,366.5,7.5
733.5,1551.5,8.5
730.5,1520.5,4.5
736.5,65.5,5.5
742.0,256.0,6.0
744.0,434.0,8.0
740.0,586.5,4.0
740.0,1408.0,4.0
744.0,379.5,7.0
746.5,1461.5,8.5
748.0,152.5,9.0
746.0,903.5,7.0
742.5,1255.5,3.5
745.5,192.5,5.5
745.0,845.5,5.0
750.5,1233.5,9.5
773.5,52.5,31.5
758.5,598.5,15.5
748.0,1155.5,5.0
749.5,1182.0,6.5
750.0,638.0,5.0
752.5,671.5,5.5
753.5,248.5,3.5
756.5,306.0,5.5
756.5,489.0,5.5
757.5,1256.0,6.5
772.0,810.0,18.0
764.5,352.5,6.5
769.5,232.5,7.5
771.5,1338.5,9.5
768.0,1130.5,5.0
774.5,658.0,10.5
775.0,252.5,9.0
770.0,311.5,4.0
773.0,174.0,5.0
774.5,1093.5,6.5
773.0,1182.0,5.0
773.5,1247.0,5.5
776.5,200.5,5.5
781.0,279.0,6.0
783.5,994.0,7.5
782.0,1236.0,6.0
