 12 7306.815000 1.310E-28 2.669E-04.07580.412  380.70240.69-.011224          0 2 1          0 0 0  5  5  0        4  3  1      4342336070287122 8    11.0    9.0
 16 7306.853540 1.071E-28 1.262E+00.10940.480   32.31170.73-.009200          0 0 2          0 0 0  2  2  1        1  1  0      4611015041 7712248   180.0  108.0
 12 7306.868300 4.870E-29 3.387E-01.04300.250 2239.12600.410.000000         -2-2-2          0 0 0 13 -2 -2       13  3 11      0422234736917122 0    27.0   27.0
 11 7306.896100 1.346E-27 8.174E+00.08540.391 3565.45460.67-.007220          1 2 1          0 2 0  6  1  5        5  1  4      4742236033257122 7    39.0   33.0
 12 7306.946200 8.870E-25 6.980E-01.08090.420  445.34600.63-.011320          1 0 1          0 0 0  6  1  5        6  1  6      454543601825 322 7    39.0   39.0
 14 7307.015378 1.378E-29 4.404E-03.03990.250 1247.96480.41-.021600          0 0 2          0 0 0 12  2 10       13  0 13      564103504131712210   150.0  162.0
 13 7307.037700 6.210E-25 1.008E+00.09360.520  173.11010.71-.008100          2 0 0          0 0 0  4  2  3        3  1  2      454633601825 322 7   162.0  126.0
 12 7307.083200 1.620E-29 1.190E-02.09810.434 1725.01660.71-.003620          2 1 0          0 1 0  3  3  0        3  0  3      4342336070287122 8    21.0   21.0
 11 7307.099500 1.182E-28 7.855E-04.01760.235 2327.91260.40-.016060          0 5 0          0 0 0 14  1 14       14  2 13      4442436032297122 9    87.0   87.0
 13 7307.131100 5.160E-28 1.653E-02.08750.420  601.96110.63-.010440          0 0 2          0 0 0  5  3  3        6  2  4      434653607025 322 7    66.0   78.0
 14 7307.166625 1.773E-28 3.220E+00.07750.352 1999.77680.61-.017600          0 1 2          0 1 0  8  3  6        7  3  5      4641035041257122 7   102.0   90.0
 11 7307.167800 1.980E-23 8.063E-01.05410.230  888.63260.63-.023780          2 0 0          0 0 0  6  6  0        6  5  1      454323601828 322 8    13.0   13.0
 11 7307.199400 5.770E-23 7.831E-01.05230.260  888.59860.63-.018860          2 0 0          0 0 0  6  6  1        6  5  2      454423601828 322 7    39.0   39.0
